Description:
Note:\Note
Interval:5min
Start date: 2:04:05,  1 Oct 2020
time[s],temp,L1_680,L1_720,L2_680,L2_720,L3_680,L3_720,L4_680,L4_720,L5_680,L05_720,L6_680,L6_720,L7_680,L7_720,L8_680,L8_720
33901,37.959,0.279,0.184,0.546,0.358,0.528,0.323,0.604,0.386,0.621,0.41,0.592,0.405,0.566,0.399,0.541,0.345,
34201,38.007,0.287,0.191,0.562,0.374,0.54,0.33,0.611,0.387,0.641,0.43,0.614,0.419,0.569,0.395,0.535,0.338,
34501,37.954,0.292,0.198,0.57,0.376,0.539,0.33,0.614,0.393,0.652,0.435,0.63,0.427,0.602,0.42,0.547,0.34,
34801,37.932,0.285,0.191,0.566,0.369,0.553,0.338,0.618,0.391,0.672,0.45,0.633,0.434,0.594,0.411,0.561,0.359,
35101,37.976,0.288,0.183,0.577,0.374,0.553,0.337,0.644,0.412,0.692,0.464,0.634,0.426,0.614,0.431,0.581,0.374,
35401,37.974,0.287,0.185,0.582,0.378,0.57,0.345,0.656,0.414,0.685,0.453,0.65,0.432,0.621,0.432,0.587,0.372,
35701,38.023,0.289,0.189,0.599,0.389,0.582,0.353,0.671,0.427,0.705,0.47,0.674,0.459,0.636,0.445,0.599,0.383,
36001,38.019,0.296,0.201,0.61,0.395,0.593,0.36,0.677,0.426,0.71,0.465,0.692,0.458,0.65,0.454,0.601,0.378,
36301,38.11,0.299,0.197,0.612,0.397,0.609,0.374,0.695,0.442,0.716,0.465,0.704,0.473,0.668,0.467,0.614,0.385,
36601,38.103,0.309,0.205,0.618,0.399,0.609,0.364,0.687,0.431,0.743,0.491,0.705,0.473,0.674,0.466,0.637,0.404,
36901,38.034,0.301,0.203,0.628,0.407,0.615,0.373,0.72,0.457,0.749,0.486,0.713,0.475,0.694,0.483,0.647,0.406,
37201,38.016,0.318,0.215,0.646,0.417,0.644,0.392,0.733,0.468,0.766,0.502,0.728,0.483,0.709,0.494,0.644,0.401,
37501,37.99,0.316,0.214,0.657,0.427,0.653,0.397,0.745,0.469,0.78,0.512,0.74,0.488,0.709,0.485,0.668,0.421,
